interID,ncID,ncType,ncIdentifier,ncName,PartnerID,prType,prIdentifier,InteractionPartner,interDescription,experiment,pubmed,organism,tag,interClass,interLevel,NONCODETranscriptID
ncRI-199388,16279,NONCODE,n375209,RPI001_884977,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-199324,16233,NONCODE,n405893,RPI001_868005,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-190919,11620,NONCODE,n407851,RPI001_104861,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT134684.2
ncRI-198209,15305,NONCODE,n383231,RPI001_641284,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT056040.2
ncRI-190560,11538,NONCODE,n342135,RPI001_1034502,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT115059.2
ncRI-196001,13560,NONCODE,n338495,RPI001_428942,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193006,12152,NONCODE,n339622,RPI001_233996,515,UniProt,Q9UL18,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT092438.2
ncRI-193006,12152,NONCODE,n339622,RPI001_233996,515,UniProt, Q9UKV8,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT092438.2
ncRI-193006,12152,NONCODE,n339622,RPI001_233996,515,UniProt, Q9H9G7,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT092438.2
ncRI-193006,12152,NONCODE,n339622,RPI001_233996,515,UniProt, Q9HCK5,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT092438.2
ncRI-191933,11826,NONCODE,n342669,RPI001_133166,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT146833.2
ncRI-196341,13770,NONCODE,n337841,RPI001_490066,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT138334.2
ncRI-189208,11288,NONCODE,n341158,RPI001_1009689,4619,UniProt,P35637,FUS,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT025149.2
ncRI-192352,11921,NONCODE,n408353,RPI001_162710,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT037119.2
ncRI-190434,11515,NONCODE,n335713,RPI001_1031684,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189793,11389,NONCODE,n387060,RPI001_1019071,515,UniProt,Q9UL18,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT060501.2
ncRI-189793,11389,NONCODE,n387060,RPI001_1019071,515,UniProt, Q9UKV8,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT060501.2
ncRI-189793,11389,NONCODE,n387060,RPI001_1019071,515,UniProt, Q9H9G7,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT060501.2
ncRI-189793,11389,NONCODE,n387060,RPI001_1019071,515,UniProt, Q9HCK5,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT060501.2
ncRI-193164,12213,NONCODE,n407441,RPI001_241633,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT055307.2
ncRI-190474,11523,NONCODE,n345975,RPI001_1032778,4621,UniProt,P35637,FUS_mutant,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193686,12461,NONCODE,n339920,RPI001_353804,515,UniProt,Q9UL18,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193686,12461,NONCODE,n339920,RPI001_353804,515,UniProt, Q9UKV8,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193686,12461,NONCODE,n339920,RPI001_353804,515,UniProt, Q9H9G7,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193686,12461,NONCODE,n339920,RPI001_353804,515,UniProt, Q9HCK5,AGO1-4,PAR-CLIP of combined AGO1-4 indicates the noncoding transcript as binding site of AGOs.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189252,11293,NONCODE,n345170,RPI001_1010272,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide binding sites of HuR.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT027206.2
ncRI-189508,11342,NONCODE,n344778,RPI001_1015132,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT041921.2
ncRI-191393,11713,NONCODE,n408119,RPI001_114723,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-196275,13724,NONCODE,n344992,RPI001_477740,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT125260.2
ncRI-191530,11745,NONCODE,n377827,RPI001_119717,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT001159.2
ncRI-199808,16663,NONCODE,n342664,RPI001_935266,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT102668.2
ncRI-189237,11292,NONCODE,n384770,RPI001_101019,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide binding sites of HuR.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT104991.2
ncRI-189826,11393,NONCODE,n386209,RPI001_1019330,18698,UniProt,Q86X94,TAF15,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189838,11395,NONCODE,n379927,RPI001_1019382,6274,UniProt,Q9Y6M1,IGF2BP2,PAR-CLIP of IGF2BP2 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT064038.2
ncRI-193466,12347,NONCODE,n339862,RPI001_296142,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT059132.2
ncRI-196191,13682,NONCODE,n342985,RPI001_466733,18698,UniProt,Q86X94,TAF15,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT113149.2
ncRI-197759,15023,NONCODE,n340567,RPI001_543444,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide HuR binding sites.,PAR-CLIP,21723171,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-199335,16241,NONCODE,n371910,RPI001_872533,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT015792.2
ncRI-199277,16203,NONCODE,n340820,RPI001_860643,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-003709,5419,NONCODE,n343067,HOTAIR,30745,UniProt,Q15022,PRC2,"CDK1 and CDK2 phosphorylate EZH2 at threonine 350 (T350) and that T350 phosphorylation is important for the binding of EZH2 to PRC2 recruiters, such as noncoding RNAs (ncRNAs) HOTAIR and XIST.",,21278485,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-199614,16477,NONCODE,n373685,RPI001_923674,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT034588.2
ncRI-191800,11801,NONCODE,n339129,RPI001_128273,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT076795.2
ncRI-197804,15053,NONCODE,n344909,RPI001_554429,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT113545.2
ncRI-198144,15272,NONCODE,n345281,RPI001_629722,18698,UniProt,Q86X94,TAF15,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT039453.2
ncRI-192055,11851,NONCODE,n381942,RPI001_139371,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-191670,11773,NONCODE,n363484,RPI001_123972,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT007159.2
ncRI-200061,16879,NONCODE,n384700,RPI001c_11146,4621,UniProt,P35637,FUS_mutant,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT102762.2
ncRI-192784,12060,NONCODE,n411578,RPI001_191977,6274,UniProt,Q9Y6M1,IGF2BP2,PAR-CLIP of IGF2BP2 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT078101.2
ncRI-188698,11206,NONCODE,n338223,RPI001_1004148,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT006360.2
ncRI-190280,11484,NONCODE,n346523,RPI001_102798,18387,UniProt,Q07955,SRSF1,"Cross-linking immunoprecipitation and high-throughput sequencing (CLIP-seq) identified binding sites for SFRS1 in the transcriptome of cultured human embryonic kidney cells. SFRS1 was found to engage many different classes of functionally distinct transcripts including mRNA, miRNA, snoRNAs, ncRNAs, and conserved intergenic transcripts of unknown function.",CLIP-seq,19116412,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT034532.2
ncRI-193249,12254,NONCODE,n406442,RPI001_256048,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT042264.2
ncRI-196336,13766,NONCODE,n323836,RPI001_489035,18740,UniProt,Q13148,TARDBP,TDP-43 is a predominantly nuclear RNA-binding protein that forms inclusion bodies in frontotemporal lobar degeneration (FTLD) and amyotrophic lateral sclerosis (ALS). iCLIP found that TDP-43 increasely bound to specific noncoding RNAs in FTLD.,iCLIP,21358640,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193129,12200,NONCODE,n340210,RPI001_240209,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT098133.2
ncRI-188870,11236,NONCODE,n381409,RPI001_1006381,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT011652.2
ncRI-190600,11548,NONCODE,n385185,RPI001_1035691,4619,UniProt,P35637,FUS,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT121005.2
ncRI-200470,19598,NONCODE,n5315,U1,4793,UniProt,Q8TEQ6,Gemin5,Gemin5 binds speci?cally to the small nuclear RNA (snRNA)-de?ning small nuclear ribonucleoprotein (snRNP) code sequence,RNA-mediated hydroxyl radical probing method and mass spectrometry,19377484,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-192826,12078,NONCODE,n370126,RPI001_195388,6274,UniProt,Q9Y6M1,IGF2BP2,PAR-CLIP of IGF2BP2 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189054,11274,NONCODE,n341044,RPI001_1008932,3564,UniProt,Q15717,ELAVL1,CLIP-seq identifies transcriptome-wide binding sites of HuR.,CLIP-seq,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT021830.2
ncRI-200021,16841,NONCODE,n376384,RPI001_979831,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide binding sites of ELAVL1 under Mnase treated condition.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT063975.2
ncRI-190125,11452,NONCODE,n376985,RPI001_1024536,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT082933.2
ncRI-192871,12093,NONCODE,n379132,RPI001_20174,10351,UniProt,P26599,PTBP1,"PTB is a well-characterized splicing repressor. CLIP-seq identifies direct RNA targets for PTB in HeLa cells, finding that PTB bound to multiple regions, regardless of whether the site is subject to regulation.",CLIP-seq,20064465,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT001969.2
ncRI-190832,11603,NONCODE,n341783,RPI001_1040047,517,UniProt,Q9UKV8,AGO2,PAR-CLIP identifies transcriptome-wide binding sites of AGO2 under Mnase treated condition.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-188913,11243,NONCODE,n340011,RPI001_1006612,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-188614,11189,NONCODE,n344659,RPI001_1002170,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT001511.2
ncRI-191957,11831,NONCODE,n386231,RPI001_135055,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-188359,11165,NONCODE,n336293,RPI001_1001025,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-190938,11625,NONCODE,n376203,RPI001_105235,6274,UniProt,Q9Y6M1,IGF2BP2,PAR-CLIP of IGF2BP2 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-188926,11245,NONCODE,n381430,RPI001_1006778,3988,UniProt,Q01844,EWSR1,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT012887.2
ncRI-198206,15303,NONCODE,n344559,RPI001_641049,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT055363.2
ncRI-193484,12355,NONCODE,n345685,RPI001_298919,18936,UniProt,P31483,TIA1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-190992,11637,NONCODE,n383862,RPI001_105921,10434,UniProt,B7ZL34,PUM2,PAR-CLIP of PUM2 indicates the noncoding transcript as binding site.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT078782.2
ncRI-192169,11880,NONCODE,n385106,RPI001_150080,3564,UniProt,Q15717,ELAVL1,CLIP-seq identifies transcriptome-wide binding sites of HuR.,CLIP-seq,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-188246,11155,NONCODE,n386343,RPI001_100071,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT091524.2
ncRI-192437,11951,NONCODE,n383190,RPI001_166287,18939,UniProt,Q49AS9,TIAL1,T-cell intracellular antigen 1 (TIA1) and TIA1-like 1 (TIAL1) locally enhance exon inclusion by recruiting U1 snRNP to 5' splice sites. UV-crosslinking and immunoprecipitation (iCLIP) found TIA1 and TIAL1 binding positions on human RNAs.,iCLIP,21048981,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT054306.2
ncRI-189755,11381,NONCODE,n342724,RPI001_1018163,6272,UniProt,Q9NZI8,IGF2BP1,PAR-CLIP of IGF2BP1 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT056046.2
ncRI-191924,11824,NONCODE,n338856,RPI001_132598,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT070923.2
ncRI-197952,15154,NONCODE,n345059,RPI001_585242,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT134003.2
ncRI-200766,19635,NONCODE,n5387,U5,17408,UniProt,P23246,SFPQ,Filter-binding assays and RNA affinity selection experiments demonstrated that PSF(SFPQ) and p54nrb bind U5 snRNA with both the sequence and structure of stem 1b contributing to binding specificity.,Filter-binding assays,12403470,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-189507,11342,NONCODE,n344778,RPI001_1015132,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide HuR binding sites.,PAR-CLIP,21723171,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT041921.2
ncRI-189543,11347,NONCODE,n407434,RPI001_1015310,3564,UniProt,Q15717,ELAVL1,PAR-CLIP identifies transcriptome-wide binding sites of ELAVL1 under Mnase treated condition.,PAR-CLIP,21572407,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
ncRI-193452,12341,NONCODE,n341129,RPI001_29321,10351,UniProt,P26599,PTBP1,"PTB is a well-characterized splicing repressor. CLIP-seq identifies direct RNA targets for PTB in HeLa cells, finding that PTB bound to multiple regions, regardless of whether the site is subject to regulation.",CLIP-seq,20064465,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT024276.2
ncRI-190733,11575,NONCODE,n341376,RPI001_1037293,3564,UniProt,Q15717,ELAVL1,"HuR  regulates the stability and translation of their target mRNAs. HuR targets in noncoding region are identified using independent high-throughout approaches including PAR-CLIP, RIP-chip and RNAi.","Integration of RIP-chip, PAR-CLIP and RNAi",21723170,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT124467.2
ncRI-189584,11352,NONCODE,n337988,RPI001_1015803,6276,UniProt,O00425,IGF2BP3,PAR-CLIP of IGF2BP3 indicates the noncoding transcript as binding sites.,PAR-CLIP,20371350,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,NONHSAT047105.2
ncRI-190728,11574,NONCODE,n324177,RPI001_1037280,4619,UniProt,P35637,FUS,PAR-CLIP defined global RNA targets for all human FET proteins and two ALS-causing human FUS mutants.,PAR-CLIP,22081015,Homo sapiens,ncRNA-protein binding,binding,RNA-Protein,
