ncIdentifier,prIdentifier,interaction
n379841,O00425,1
n386194,O00425,1
n410806,Q13148,1
n344453,Q13148,1
n383550,Q15717,1
n384212,Q9UKV8,1
n381280,Q15717,1
n346272,Q07955,1
n387140,Q07955,1
n345904,Q13148,1
n386655,Q07955,1
n344775,Q9NZI8,1
n406992,Q9UKV8,1
n376215,O00425,1
n363356,Q15717,1
n345912,Q9HCE1,1
n345437,P35637,1
n384320,Q9Y6M1,1
n379107,Q13148,1
n410188,Q9NZI8,1
n371225,P26599,1
n385951,P31483,1
n344995,Q9Y6M1,1
n344478,O43251,1
n384484,Q96PU8,1
n405614,Q07955,1
n368394,Q13148,1
n380177,Q49AS9,1
n381557,P35637,1
n385727,Q9NZI8,1
n381585,Q13148,1
n381071,Q13148,1
n367651,Q15717,1
n344943,P35637,1
n406883,Q15717,1
n405438,Q9Y6M1,1
n345091,Q01844,1
n378313,Q07955,1
n408353,Q01844,1
n385102,O00425,1
n384227,P35637,1
n407311,Q15717,1
n409143,Q15717,1
n378866,Q86X94,1
n410462,Q15717,1
n375063,P26599,1
n409180,Q9Y6M1,1
n384703,Q15717,1
n385725,Q9NZI8,1
n346523,Q9NZI8,1
n345221,Q15717,1
n384496,Q9Y6M1,1
n346101,Q9NZI8,1
n387393,Q15717,1
n381270,Q07955,1
n377665,Q49AS9,1
n371524,Q86X94,1
n381022,Q8NDV7,1
n381022,Q9UPQ9,1
n381022,Q9HCJ0,1
n384996,Q9HCE1,1
n383327,Q15717,1
n346373,P35637,1
n344652,Q15717,1
n344488,Q49AS9,1
n376203,O00425,1
n344658,Q9UKV8,1
n346033,Q86X94,1
n346494,Q07955,1
n380184,Q15717,1
n385204,Q07955,1
n344552,P26599,1
n384393,O00425,1
n405566,O00425,1
n385468,P26599,1
n385059,Q9UKV8,1
n344778,Q9UKV8,1
n385792,Q07955,1
n405576,Q15717,1
n385274,Q9UKV8,1
n370923,Q13148,1
n410167,Q07955,1
n368397,Q13148,1
n380399,Q9UL18,1
n380399,Q9UKV8,1
n380399,Q9H9G7,1
n380399,Q9HCK5,1
n378317,Q13148,1
n372674,Q49AS9,1
n363484,Q15717,1
n385849,Q15717,1
n385631,Q15717,1
n385256,Q15717,1
n372403,Q13148,1
n405979,Q07955,1
n384121,Q9NZI8,1
n344662,Q9Y6M1,1
n384858,Q07955,1
n387674,Q07955,1
n383314,P26599,1
n345395,Q49AS9,1
n345222,Q9Y6M1,1
n345781,Q49AS9,1
n346398,Q9UKV8,1
n384112,Q07955,1
n406127,Q07955,1
n344778,Q9UL18,1
n344778,Q9UKV8,1
n344778,Q9H9G7,1
n344778,Q9HCK5,1
n365920,Q49AS9,1
n382060,P35637,1
n345852,O00425,1
n382009,Q07955,1
n375477,Q9UKV8,1
n378352,O00425,1
n382511,Q13148,1
n344628,O00425,1
n386512,O00425,1
n346392,P31483,1
n379717,Q15717,1
n344687,O00425,1
n386362,Q15717,1
n381623,Q01844,1
n405477,Q9NZI8,1
n384422,Q15717,1
n345232,P35637,1
n371552,Q01844,1
n365451,Q15717,1
n345156,P26599,1
n405558,Q07955,1
n377834,Q9UL18,1
n377834,Q9UKV8,1
n377834,Q9H9G7,1
n377834,Q9HCK5,1
n376473,Q15717,1
n381623,Q15717,1
n381912,Q01844,1
n382495,Q07955,1
n382687,O00425,1
n409183,Q9NZI8,1
n375968,P35637,1
n387722,Q9Y6M1,1
n376189,Q9UKV8,1
n383693,P31483,1
n371938,P35637,1
n364685,Q07955,1
n366290,P31483,1
n345686,Q15717,1
n345799,Q07955,1
n407992,Q15717,1
n377717,Q07955,1
n378107,P26599,1
n382220,Q49AS9,1
n385187,P35637,1
n409152,Q49AS9,1
n405504,O00425,1
n373788,Q15717,1
n345694,O00425,1
n405755,Q01844,1
n409190,Q07955,1
n380543,Q13148,1
n379167,Q9UL18,1
n379167,Q9UKV8,1
n379167,Q9H9G7,1
n379167,Q9HCK5,1
n369995,Q15717,1
n345437,Q9NZI8,1
n387060,P35637,1
n345506,P35637,1
n346188,Q13148,1
n346101,Q13148,1
n387476,Q15717,1
n410523,Q9HCE1,1
n346066,P26599,1
n385185,Q9Y6M1,1
n407073,Q15717,1
n385229,Q49AS9,1
n344687,Q9UKV8,1
n409625,Q9UL18,1
n409625,Q9UKV8,1
n409625,Q9H9G7,1
n409625,Q9HCK5,1
n344457,Q9NZI8,1
n408342,Q15717,1
n345612,Q13148,1
n405484,P26599,1
n382511,Q9UL18,1
n382511,Q9UKV8,1
n382511,Q9H9G7,1
n382511,Q9HCK5,1
n385145,Q9UKV8,1
n345175,Q9UKV8,1
n379167,Q9Y6M1,1
n407337,Q13148,1
n406964,Q07955,1
n381381,Q07955,1
n383639,Q13148,1
n365664,Q9HCE1,1
n383057,Q15717,1
n346205,Q07955,1
n386353,Q07955,1
n382231,Q9Y6M1,1
n409683,Q9Y6M1,1
n384625,P35637,1
n364269,Q15717,1
n382276,Q15717,1
n375318,Q13148,1
n384936,Q86X94,1
n345437,Q15717,1
n345138,Q15717,1
n406409,Q9UL18,1
n406409,Q9UKV8,1
n406409,Q9H9G7,1
n406409,Q9HCK5,1
n346126,Q9Y6M1,1
n386770,Q15717,1
n381557,Q15717,1
n381912,P35637,1
n385730,Q15717,1
n379622,Q49AS9,1
n379466,O00425,1
n382328,Q49AS9,1
n345417,Q13148,1
n344741,O00425,1
n408055,Q96PU8,1
n377672,Q15717,1
n375243,Q07955,1
n345807,Q9Y6M1,1
n384624,Q07955,1
n345249,Q13148,1
n410152,Q49AS9,1
n407669,Q15717,1
n387722,Q01844,1
n370618,Q01844,1
n345457,Q9Y6M1,1
n344758,P35637,1
n346398,Q9Y6M1,1
n344687,Q01844,1
n383234,P35637,1
n386577,Q07955,1
n382037,P31483,1
n382989,Q86X94,1
n387063,Q15717,1
n408277,Q15717,1
n344652,Q49AS9,1
n387010,Q07955,1
n345839,Q13148,1
n345527,Q15717,1
n385688,Q49AS9,1
n385139,Q9NZI8,1
n344778,P31483,1
n387060,O00425,1
n381878,Q9Y6M1,1
n407050,Q07955,1
n346533,O00425,1
n407761,Q15717,1
n367182,Q15717,1
n407887,O00425,1
n378567,Q49AS9,1
n380900,Q13148,1
n345139,Q9NZI8,1
n346404,Q15717,1
n346398,P31483,1
n381557,Q07955,1
n344871,Q07955,1
n385467,Q13148,1
n384290,Q9NZI8,1
n386118,Q07955,1
n382131,Q9NZI8,1
n376189,Q9NZI8,1
n379466,Q9UKV8,1
n346349,Q9NZI8,1
n407550,Q15717,1
n384353,O00425,1
n377788,Q49AS9,1
n382487,P26599,1
n345437,O00425,1
n376314,Q15717,1
n381409,Q15717,1
n345653,P31483,1
n344709,P26599,1
n410042,Q07955,1
n344798,Q9UKV8,1
n384209,Q9NZI8,1
n384209,Q15717,1
n386362,Q15717,1
n368164,Q9NZI8,1
n346510,O00425,1
n380064,Q9HCE1,1
n410143,P35637,1
n386770,O00425,1
n384770,B7ZL34,1
n381885,Q9Y6M1,1
n345117,P35637,1
n344578,Q07955,1
n385223,Q49AS9,1
n381833,Q07955,1
n346137,Q07955,1
n384140,Q9NZI8,1
n384212,Q15717,1
n375703,Q15717,1
n385787,P26599,1
n385102,P26599,1
n384210,Q9Y6M1,1
n384496,Q9NZI8,1
n385468,Q9HCE1,1
n410070,Q86X94,1
n381351,O00425,1
n385812,P26599,1
n344996,O00425,1
n345781,O00425,1
n371301,Q9UL18,1
n371301,Q9UKV8,1
n371301,Q9H9G7,1
n371301,Q9HCK5,1
n377660,Q15717,1
n380175,Q15717,1
n384536,Q15717,1
n344848,Q15717,1
n344664,Q15717,1
n385951,P35637,1
n377827,Q07955,1
n344793,P31483,1
n345222,Q15717,1
n381280,P26599,1
n374027,Q86X94,1
n387718,Q9HCE1,1
n371665,Q15717,1
n344659,Q86X94,1
n407534,B7ZL34,1
n406883,P35637,1
n382989,Q15717,1
n382687,P35637,1
n385725,Q9HCE1,1
n379212,Q8NDV7,1
n379212,Q9UPQ9,1
n379212,Q9HCJ0,1
n375522,O00425,1
n384720,Q9NZI8,1
n407721,Q01844,1
n345433,Q15717,1
n384210,P35637,1
n344939,Q96PU8,1
n381557,Q01844,1
n384353,Q07955,1
n410108,Q9UKV8,1
n381280,Q49AS9,1
n386343,Q9NZI8,1
n383794,Q9NZI8,1
n345807,Q9NZI8,1
n344860,O00425,1
n383211,Q15717,1
n410199,Q07955,1
n381793,P26599,1
n376398,Q15717,1
n411694,P35637,1
n344793,Q49AS9,1
n384393,Q15717,1
n386524,P35637,1
n409672,Q15717,1
n363381,Q15717,1
n381417,O00425,1
n346537,Q9UL18,1
n346537,Q9UKV8,1
n346537,Q9H9G7,1
n346537,Q9HCK5,1
n345668,Q15717,1
n410523,P35637,1
n384073,Q15717,1
n376590,Q49AS9,1
n376473,P35637,1
n367143,Q07955,1
n344800,Q49AS9,1
n381417,Q9UKV8,1
n344868,O00425,1
n345981,O00425,1
n377651,Q15717,1
n344748,Q07955,1
n365972,Q07955,1
n346167,Q15717,1
n363904,Q9NZI8,1
n382312,Q15717,1
n386108,Q07955,1
n344664,Q9NZI8,1
n407311,Q15717,1
n346137,Q15717,1
n407114,Q9UL18,1
n407114,Q9UKV8,1
n407114,Q9H9G7,1
n407114,Q9HCK5,1
n345185,Q15717,1
n345516,Q15717,1
n379095,Q15717,1
n370090,Q49AS9,1
n381585,P31483,1
n407573,Q49AS9,1
n378108,Q9Y6M1,1
n346426,O00425,1
n378068,Q49AS9,1
n346528,Q15717,1
n385902,Q07955,1
n367049,Q07955,1
n384200,Q07955,1
n382060,Q15717,1
n385274,Q9UKV8,1
n344814,Q9UKV8,1
n373943,Q07955,1
n377818,Q9Y6M1,1
n379360,Q96PU8,1
n387397,Q15717,1
n407466,Q9HCE1,1
n406336,P31483,1
n407210,Q07955,1
n378567,O00425,1
n379406,Q15717,1
n380677,Q15717,1
n406144,Q15717,1
n410143,Q9UKV8,1
n410453,O00425,1
n410885,Q15717,1
n379114,Q07955,1
n384573,Q9UL18,1
n384573,Q9UKV8,1
n384573,Q9H9G7,1
n384573,Q9HCK5,1
n372953,P35637,1
n378353,Q13148,1
n387722,O00425,1
n386179,Q9NZI8,1
n345185,P35637,1
n376473,Q49AS9,1
n383019,Q9NZI8,1
n410161,Q15717,1
n368624,Q49AS9,1
n383509,Q15717,1
n384395,Q07955,1
n406134,Q9NZI8,1
n385685,P35637,1
n407114,Q15717,1
n378414,Q96PU8,1
n344814,P31483,1
n383747,B7ZL34,1
n378603,Q15717,1
n345977,Q07955,1
n407520,P26599,1
n384227,O00425,1
n377684,Q07955,1
n409540,Q07955,1
n380693,Q01844,1
n363945,Q07955,1
n407062,Q07955,1
n378068,Q8NDV7,1
n378068,Q9UPQ9,1
n378068,Q9HCJ0,1
n386063,Q15717,1
n381011,Q15717,1
n377912,Q15717,1
n346311,Q07955,1
n383805,Q15717,1
n373563,Q15717,1
n384228,Q9Y6M1,1
n344748,Q15717,1
n368267,Q9UKV8,1
n376590,P31483,1
n345670,Q49AS9,1
n369876,O00425,1
n386735,P31483,1
n345139,Q9Y6M1,1
n385707,P35637,1
n368044,Q9Y6M1,1
n384320,P26599,1
n384624,Q15717,1
n385468,Q13148,1
n407937,Q15717,1
n379630,Q86X94,1
n378567,P35637,1
n384754,Q86X94,1
n345935,Q49AS9,1
n346533,Q9UKV8,1
n365866,Q15717,1
n344462,Q15717,1
n344601,Q15717,1
n384480,Q15717,1
n377834,Q9UKV8,1
n385727,O00425,1
n386315,P31483,1
n375857,Q15717,1
n378108,P35637,1
n346396,Q07955,1
n386391,Q07955,1
n379395,Q13148,1
n345182,Q15717,1
n407659,Q9NZI8,1
n346167,Q9Y6M1,1
n379114,Q15717,1
n345168,Q49AS9,1
n410722,Q9Y6M1,1
n374534,Q9Y6M1,1
n409149,Q9UKV8,1
n406914,Q15717,1
n345742,Q07955,1
n376049,Q15717,1
n378108,Q07955,1
n386343,B7ZL34,1
n345746,P31483,1
n381942,Q9Y6M1,1
n381912,Q9Y6M1,1
n406422,O00425,1
n378273,O00425,1
n382015,Q15717,1
n345765,P31483,1
n386100,Q07955,1
n381557,O00425,1
n406900,Q9UL18,1
n406900,Q9UKV8,1
n406900,Q9H9G7,1
n406900,Q9HCK5,1
n378555,Q07955,1
n379792,P31483,1
n344736,Q15717,1
n346537,Q01844,1
n370423,Q15717,1
n345630,P31483,1
n381430,Q9Y6M1,1
n376985,Q9NZI8,1
n409618,Q15717,1
n384684,Q49AS9,1
n381444,Q07955,1
n379244,P35637,1
n370574,P31483,1
n344547,Q15717,1
n344659,Q15717,1
n382184,Q15717,1
n381409,P35637,1
n387393,Q9Y6M1,1
n409540,O00425,1
n367422,Q49AS9,1
n377916,P26599,1
n346196,Q07955,1
n378002,P26599,1
n367646,Q15717,1
n344610,Q9UKV8,1
n346383,Q07955,1
n344971,O00425,1
n371665,Q9Y6M1,1
n369487,Q49AS9,1
n406480,Q9NZI8,1
n383025,Q9UKV8,1
n371761,Q07955,1
n382231,Q9UL18,1
n382231,Q9UKV8,1
n382231,Q9H9G7,1
n382231,Q9HCK5,1
n345433,Q49AS9,1
n385569,Q9Y6M1,1
n382702,O00425,1
n409179,Q9NZI8,1
n377683,Q07955,1
n377284,Q07955,1
n369512,B7ZL34,1
n344530,Q15717,1
n379781,P35637,1
n372205,Q9Y6M1,1
n383077,O00425,1
n376433,Q86X94,1
n384228,P35637,1
n345207,Q15717,1
n345777,Q9UKV8,1
n376424,Q13148,1
n410523,P26599,1
n381430,P35637,1
n374798,Q13148,1
n344807,Q15717,1
n344996,Q15717,1
n379177,Q49AS9,1
n387026,Q07955,1
n387634,Q9HCE1,1
n405705,Q13148,1
n407992,Q9HCE1,1
n385729,Q86X94,1
n384285,Q07955,1
n345032,Q13148,1
n345501,Q07955,1
n363847,Q15717,1
n410799,Q49AS9,1
n383218,P26599,1
n363484,O00425,1
n345185,Q9Y6M1,1
n387531,Q07955,1
n372993,Q9UL18,1
n372993,Q9UKV8,1
n372993,Q9H9G7,1
n372993,Q9HCK5,1
n344800,Q15717,1
n387437,Q49AS9,1
n345101,Q15717,1
n386179,O00425,1
n387060,Q15717,1
n385801,Q15717,1
n346296,P31483,1
n405569,Q9HCE1,1
n344547,Q9Y6M1,1
n387266,P31483,1
n344980,O00425,1
n376985,Q9HCE1,1
n377827,Q9Y6M1,1
n368267,Q9NZI8,1
n344986,Q9NZI8,1
n344871,Q96PU8,1
n409674,Q9NZI8,1
n370423,Q15717,1
n379110,Q86X94,1
n345746,Q49AS9,1
n345455,Q01844,1
n346477,Q07955,1
n408075,Q9NZI8,1
n346472,Q07955,1
n382131,O00425,1
n380100,P35637,1
n383019,P26599,1
n384480,B7ZL34,1
n372291,Q49AS9,1
n379459,Q15717,1
n381076,Q07955,1
n345117,P35637,1
n344651,P31483,1
n386343,O00425,1
n408020,O00425,1
n344798,O00425,1
n383747,Q9Y6M1,1
n377295,Q86X94,1
n409180,Q9NZI8,1
n345455,O00425,1
n346128,O00425,1
n344741,Q49AS9,1
n345618,Q15717,1
n346236,Q07955,1
n385188,Q8NDV7,1
n385188,Q9UPQ9,1
n385188,Q9HCJ0,1
n406346,Q9UKV8,1
n345373,P26599,1
n384430,Q13148,1
n385468,Q01844,1
n372815,Q15717,1
n344957,P26599,1
n406246,Q01844,1
n371241,Q49AS9,1
n345721,P35637,1
n345139,Q9HCE1,1
n378090,Q07955,1
n386655,O00425,1
n410153,Q9Y6M1,1
n344530,P31483,1
n407434,P35637,1
n345653,Q9Y6M1,1
n366704,Q07955,1
n344814,Q86X94,1
n344975,Q15717,1
n344778,Q15717,1
n372815,Q86X94,1
n344535,Q15717,1
n344601,P35637,1
n382440,Q9Y6M1,1
n385729,Q8NDV7,1
n385729,Q9UPQ9,1
n385729,Q9HCJ0,1
n387063,Q01844,1
n372953,Q01844,1
n407071,Q9NZI8,1
n345077,Q9NZI8,1
n377827,Q9UL18,1
n377827,Q9UKV8,1
n377827,Q9H9G7,1
n377827,Q9HCK5,1
n344618,O43251,1
n376985,O00425,1
n345298,O00425,1
n408131,Q15717,1
n383509,O00425,1
n382231,Q01844,1
n344748,Q9Y6M1,1
n370585,Q86X94,1
n382131,Q15717,1
n379717,Q13148,1
n384643,Q13148,1
n344814,O00425,1
n385725,Q86X94,1
n375266,Q15717,1
n385140,Q15717,1
n379676,Q49AS9,1
n375457,Q07955,1
n378108,O00425,1
n409406,Q49AS9,1
n378714,Q9Y6M1,1
n405671,P26599,1
n385951,Q15717,1
n384480,O00425,1
n411020,Q07955,1
n407685,Q07955,1
n345879,Q49AS9,1
n381011,Q9Y6M1,1
n409672,Q9UL18,1
n409672,Q9UKV8,1
n409672,Q9H9G7,1
n409672,Q9HCK5,1
n344691,Q49AS9,1
n345088,Q07955,1
n410462,P35637,1
n377639,O00425,1
n410722,B7ZL34,1
n346532,Q07955,1
n344574,Q86X94,1
n374520,Q13148,1
n411719,Q07955,1
n387719,Q07955,1
n344805,Q15717,1
n381443,Q9Y6M1,1
n408116,Q86X94,1
n384927,O00425,1
n385511,Q9Y6M1,1
n383179,Q15717,1
n383551,Q96PU8,1
n344875,Q15717,1
n344960,Q9NZI8,1
n386362,O00425,1
n375802,Q49AS9,1
n345373,Q07955,1
n345161,Q15717,1
n377766,P35637,1
n387393,Q15717,1
n345457,Q15717,1
n385425,P35637,1
n407383,Q9UL18,1
n407383,Q9UKV8,1
n407383,Q9H9G7,1
n407383,Q9HCK5,1
n381419,P35637,1
n385725,Q96PU8,1
n382181,Q13148,1
n381272,O00425,1
n344986,O00425,1
n378107,Q01844,1
n383026,Q9UKV8,1
n372578,P35637,1
n384573,Q9Y6M1,1
n381970,P31483,1
n410026,Q9NZI8,1
n385273,Q49AS9,1
n409170,Q07955,1
n371141,Q15717,1
n411623,P26599,1
n344604,Q15717,1
n409540,Q9NZI8,1
n368098,Q01844,1
n345934,Q13148,1
n409159,O00425,1
n363537,Q15717,1
n346189,Q15717,1
n382350,Q13148,1
n407775,Q49AS9,1
n385730,Q86X94,1
n380158,P31483,1
n345648,Q9Y6M1,1
n384684,P31483,1
n385730,B7ZL34,1
n367662,Q49AS9,1
n379593,Q15717,1
n386641,O00425,1
n381280,P35637,1
n369735,Q13148,1
n377834,Q9UKV8,1
n375399,Q49AS9,1
n381057,P31483,1
n345465,Q15717,1
n385202,Q9NZI8,1
n384996,Q15717,1
n376477,Q49AS9,1
n409709,Q01844,1
n344530,Q9HCE1,1
n344814,Q9NZI8,1
n380413,Q9NZI8,1
n346545,Q15717,1
n379586,Q07955,1
n407311,P26599,1
n367417,Q15717,1
n385835,O00425,1
n345357,Q15717,1
n409683,Q15717,1
n378866,Q15717,1
n384770,Q9HCE1,1
n344778,B7ZL34,1
n410038,Q13148,1
n345502,Q9HCE1,1
n345468,Q13148,1
n385730,O00425,1
n345765,Q13148,1
n384227,B7ZL34,1
n374530,Q49AS9,1
n381057,Q15717,1
n384754,Q01844,1
n344745,Q8NDV7,1
n344745,Q9UPQ9,1
n344745,Q9HCJ0,1
n386856,Q15717,1
n344621,Q13148,1
n386592,Q9UL18,1
n386592,Q9UKV8,1
n386592,Q9H9G7,1
n386592,Q9HCK5,1
n409683,Q15717,1
n411680,O00425,1
n384996,P35637,1
n345310,P31483,1
n406117,Q07955,1
n410191,Q07955,1
n410671,P35637,1
n345014,Q49AS9,1
n377669,O00425,1
n379717,O00425,1
n345473,Q9HCE1,1
n384656,Q07955,1
n378252,B7ZL34,1
n383233,Q49AS9,1
n374607,O43251,1
n384936,B7ZL34,1
n345885,Q49AS9,1
n382328,Q15717,1
n379167,Q9NZI8,1
n344709,P31483,1
n345807,Q13148,1
n387733,P31483,1
n378279,O00425,1
n383986,P26599,1
n378726,Q15717,1
n379821,O00425,1
n344691,Q15717,1
n346533,P35637,1
n381022,Q13148,1
n383077,Q15717,1
n370205,P31483,1
n381568,O00425,1
n383080,Q49AS9,1
n346101,Q15717,1
n384215,Q15717,1
n405626,O00425,1
n410170,Q07955,1
n377680,Q07955,1
n372080,Q01844,1
n382231,P35637,1
n375462,Q13148,1
n378490,Q96PU8,1
n344598,Q15717,1
n386682,P26599,1
n385842,Q15717,1
n410105,Q07955,1
n379676,Q15717,1
n409149,Q9HCE1,1
n405453,Q07955,1
n386682,P35637,1
n409672,Q86X94,1
n406422,Q9Y6M1,1
n384321,P26599,1
n345045,Q15717,1
n381568,Q15717,1
n373804,Q49AS9,1
n366290,Q15717,1
n384927,Q9Y6M1,1
n384754,P35637,1
n380806,P31483,1
n381839,Q15717,1
n371672,P31483,1
n375266,P35637,1
n410152,Q9UL18,1
n410152,Q9UKV8,1
n410152,Q9H9G7,1
n410152,Q9HCK5,1
n372533,Q15717,1
n367775,O00425,1
n345935,P31483,1
n410108,Q49AS9,1
n407669,Q15717,1
n385729,P35637,1
n409559,Q07955,1
n408051,Q15717,1
n344814,Q15717,1
n385727,Q13148,1
n386770,Q9Y6M1,1
n384140,O00425,1
n408131,Q15717,1
n382687,Q9HCE1,1
n370930,Q9HCE1,1
n406409,Q49AS9,1
n386209,Q15717,1
n387025,P26599,1
n384742,Q01844,1
n374607,Q01844,1
n378238,Q9Y6M1,1
n372815,Q49AS9,1
n410638,P26599,1
n386260,Q9Y6M1,1
n407046,Q15717,1
n386524,P31483,1
n384209,Q15717,1
n408241,Q15717,1
n344559,P31483,1
n378414,Q15717,1
n408131,B7ZL34,1
n385229,P31483,1
n372953,Q8NDV7,1
n372953,Q9UPQ9,1
n372953,Q9HCJ0,1
n345437,P35637,1
n410153,O00425,1
n387402,Q13148,1
n410638,P31483,1
n383693,Q9UKV8,1
n381078,Q9UKV8,1
n379406,O43251,1
n407707,O00425,1
n386770,Q13148,1
n384754,Q15717,1
n381720,Q49AS9,1
n406866,Q15717,1
n371241,Q15717,1
n383693,Q15717,1
n407257,Q15717,1
n371665,Q15717,1
n345040,Q15717,1
n345457,O00425,1
n376049,Q15717,1
n387397,Q9UL18,1
n387397,Q9UKV8,1
n387397,Q9H9G7,1
n387397,Q9HCK5,1
n345971,Q07955,1
n371680,B7ZL34,1
n386735,Q15717,1
n410153,Q15717,1
n382000,Q9UL18,1
n382000,Q9UKV8,1
n382000,Q9H9G7,1
n382000,Q9HCK5,1
n345323,Q13148,1
n384430,Q9Y6M1,1
n344736,Q49AS9,1
n381958,Q13148,1
n344860,P35637,1
n385106,Q9UKV8,1
n410523,Q15717,1
n409179,Q9UL18,1
n409179,Q9UKV8,1
n409179,Q9H9G7,1
n409179,Q9HCK5,1
n370698,P31483,1
n381414,Q15717,1
n385730,Q13148,1
n383794,P35637,1
n345648,O00425,1
n384228,Q86X94,1
n344588,P26599,1
n385106,Q15717,1
n410143,Q9HCE1,1
n384430,Q15717,1
n378252,Q9UL18,1
n378252,Q9UKV8,1
n378252,Q9H9G7,1
n378252,Q9HCK5,1
n386353,Q15717,1
n405566,Q9UKV8,1
n377923,P26599,1
n345781,Q9NZI8,1
n346481,Q15717,1
n367651,P35637,1
n377577,O43251,1
n381754,Q13148,1
n407073,Q13148,1
n345304,P35637,1
n385069,P31483,1
n345405,O00425,1
n383025,O00425,1
n407159,Q07955,1
n375478,Q9NZI8,1
n375659,Q15717,1
n408119,Q9Y6M1,1
n346464,Q9Y6M1,1
n384720,P35637,1
n409548,Q07955,1
n379950,O00425,1
n385318,Q13148,1
n376473,Q86X94,1
n405993,Q15717,1
n386448,Q15717,1
n384720,Q01844,1
n381805,Q13148,1
n371680,Q15717,1
n346282,Q07955,1
n407534,Q9Y6M1,1
n344800,P35637,1
n344531,Q15717,1
n371814,Q13148,1
n411666,Q07955,1
n374607,Q9UL18,1
n374607,Q9UKV8,1
n374607,Q9H9G7,1
n374607,Q9HCK5,1
n346260,Q07955,1
n367887,P35637,1
n385727,P35637,1
n407125,Q49AS9,1
n384757,Q13148,1
n345040,Q86X94,1
n380031,P35637,1
n405558,B7ZL34,1
n344778,Q8NDV7,1
n344778,Q9UPQ9,1
n344778,Q9HCJ0,1
n344610,Q9Y6M1,1
n386770,Q9NZI8,1
n384754,Q9Y6M1,1
n407027,Q9NZI8,1
n410161,Q15717,1
n369469,Q49AS9,1
n386448,Q9Y6M1,1
n372080,Q13148,1
n405951,Q9UKV8,1
n364842,O00425,1
n408119,Q13148,1
n345751,Q49AS9,1
n409402,Q07955,1
n382918,Q15717,1
n365737,O00425,1
n409406,Q9Y6M1,1
n369955,Q07955,1
n385511,P35637,1
n344497,Q13148,1
n383556,Q9Y6M1,1
n377766,Q15717,1
n381878,Q13148,1
n407573,Q9UL18,1
n407573,Q9UKV8,1
n407573,Q9H9G7,1
n407573,Q9HCK5,1
n407311,Q15717,1
n344589,Q49AS9,1
n364511,Q9UKV8,1
n372336,Q9UL18,1
n372336,Q9UKV8,1
n372336,Q9H9G7,1
n372336,Q9HCK5,1
n344721,O00425,1
n381081,Q8NDV7,1
n381081,Q9UPQ9,1
n381081,Q9HCJ0,1
n346094,O00425,1
n405795,Q07955,1
n385188,Q9UL18,1
n385188,Q9UKV8,1
n385188,Q9H9G7,1
n385188,Q9HCK5,1
n381754,Q01844,1
n406134,Q49AS9,1
n344691,P35637,1
n344695,Q01844,1
n385274,Q15717,1
n369419,P31483,1
n345281,Q15717,1
n346200,P35637,1
n346186,Q49AS9,1
n377932,P26599,1
n405255,Q07955,1
n410638,Q9UL18,1
n410638,Q9UKV8,1
n410638,Q9H9G7,1
n410638,Q9HCK5,1
n380175,Q15717,1
n374487,Q07955,1
n384643,Q9HCE1,1
n363631,Q07955,1
n378567,Q15717,1
n363690,Q9NZI8,1
n344659,Q8NDV7,1
n344659,Q9UPQ9,1
n344659,Q9HCJ0,1
n410143,Q15717,1
n407887,Q15717,1
n383231,Q15717,1
n384936,P35637,1
n387266,Q86X94,1
n344601,Q9NZI8,1
n345423,Q15717,1
n385512,Q9Y6M1,1
n383994,Q13148,1
n344678,P31483,1
n377932,Q01844,1
n344749,P31483,1
n383233,Q9HCE1,1
n409529,Q49AS9,1
n378741,P31483,1
n410638,Q86X94,1
n382330,Q13148,1
n410630,O00425,1
n379442,Q9Y6M1,1
n385849,P35637,1
n386231,Q9NZI8,1
n367519,Q15717,1
n346081,Q07955,1
n368511,Q13148,1
n387010,Q49AS9,1
n344960,P35637,1
n344814,Q9UKV8,1
n382083,P35637,1
n405569,Q01844,1
n382143,Q15717,1
n384228,P35637,1
n381022,Q9Y6M1,1
n344547,Q9NZI8,1
n345832,P26599,1
n408131,Q8NDV7,1
n408131,Q9UPQ9,1
n408131,Q9HCJ0,1
n385725,O00425,1
n382511,P26599,1
n385425,Q9UL18,1
n385425,Q9UKV8,1
n385425,Q9H9G7,1
n385425,Q9HCK5,1
n378019,Q9Y6M1,1
n385468,O00425,1
n368164,Q15717,1
n407410,Q15717,1
n344791,Q15717,1
n376411,P35637,1
n386411,B7ZL34,1
n385951,B7ZL34,1
n344996,Q01844,1
n386856,P26599,1
n345337,Q15717,1
n378555,Q15717,1
n385511,Q15717,1
n377677,Q15717,1
n371206,Q07955,1
n344530,Q15717,1
n344724,Q15717,1
n344678,Q13148,1
n407887,Q9HCE1,1
n382181,Q86X94,1
n382224,Q9NZI8,1
n383019,Q15717,1
n387674,Q9NZI8,1
n344814,Q13148,1
n408340,Q9UL18,1
n408340,Q9UKV8,1
n408340,Q9H9G7,1
n408340,Q9HCK5,1
n346465,Q86X94,1
n380693,Q9UKV8,1
n378507,Q07955,1
n344601,Q9Y6M1,1
n344490,Q9UKV8,1
n408890,Q07955,1
n345960,Q07955,1
n386682,Q13148,1
n377015,P31483,1
n377932,P35637,1
n407465,Q15717,1
n383550,Q9Y6M1,1
n374536,Q07955,1
n377670,O00425,1
n407502,Q01844,1
n383565,Q49AS9,1
n382220,Q15717,1
n370995,Q9HCE1,1
n406899,Q9HCE1,1
